vehicle_name,fleet_name,brand,model,category,fuel_type_clean,days_active,distance_traveled_km,liters_consumed,engine_time_sec,travel_time_sec,idle_time_sec,total_co2_kg,total_fuel_cost_eur,km_per_liter,idle_ratio
FJ751ZP,VERDE,,,Default,default,6,87.671875,12.6,12393.0,9604.0,2789.0,31.5,18.9,6.958085317460317,0.2250463971596869
FB597SW,DISINFESTAZIONI,,,Default,default,7,80.6875,5.2,11174.0,8725.0,2449.0,13.0,7.800000000000001,15.516826923076923,0.21916950062645427
GG246VC,PRATO INGOMBRANTI,,,Default,default,7,80.64453125,10.5,15179.0,10860.0,4671.0,26.25,15.75,7.6804315476190474,0.3077277818038079
FK598LF,FIRENZE FIERA,,,Default,default,7,79.125,17.900000000000002,60132.0,9224.0,50908.0,44.75,26.849999999999998,4.420391061452514,0.8466041375640259
FN558EH,LONIGO,,,Default,default,7,75.75,10.9,16921.0,54160.0,4844.0,27.25,16.35,6.9495412844036695,0.28627149695644466
FF577HT,KOLA-FERRANTE,,,Default,default,7,74.5390625,4.6,6871.0,4558.0,2314.0,11.5,6.8999999999999995,16.204144021739133,0.33677776160675305
GN746BX,UTILYA,,,Default,default,7,72.79296875,10.600000000000001,47881.0,8213.0,39668.0,26.5,15.900000000000002,6.867261202830187,0.8284705833211503
FF496DX,EDILI ,,,Default,default,7,71.4609375,2.5,23923.0,7165.0,16758.0,6.25,3.7499999999999996,28.584375,0.7004974292521841
GF375CA,EDILI ,,,Default,default,6,71.171875,3.4,7236.0,6098.0,1138.0,8.5,5.1,20.932904411764707,0.15726920950801548
FG158WM,EDILI ,,,Default,default,7,70.8671875,6.7,10076.0,7512.0,2564.0,16.75,10.05,10.577192164179104,0.2544660579595077
GZ048DH,INGOMBR VALDISIEVE,,,Default,default,7,64.165771484375,6.4,17047.0,6124.0,10923.0,16.0,9.600000000000001,10.025901794433594,0.640757904616648
ED260WR,TRASLOCHI ,,,Default,default,7,61.1875,3.8,7038.0,6383.0,655.0,9.5,5.699999999999999,16.101973684210527,0.0930662119920432
DT467MK,MENSE E RISTORAZIONE,,,Default,default,7,61.1875,0.1,28084.0,14734.0,13350.0,0.25,0.15000000000000002,611.875,0.47535963537957554
FF952LE,PULIZIE E MENSE NORD,,,Default,default,7,60.8359375,5.7,15262.0,12057.0,3205.0,14.25,8.55,10.67297149122807,0.2099986895557594
GW288MA,PULIZIE COOP ,,,Default,default,7,58.58899688720703,5.9,13642.0,4887.0,8755.0,14.75,8.850000000000001,9.930338455458818,0.6417680691980648
