brand,model,fuel_type,vehicle_count,distance_traveled_km,liters_consumed,total_co2_kg,total_fuel_cost_eur,idle_ratio,utilization,km_per_liter_filled_capped,co2_per_km,fuel_cost_per_km,fuel_benchmark
IVECO,DAILY 35C14,Diesel,1,94.34375,14.5,38.86,24.65,,0.9993634259259259,6.506465517241379,0.41189797946339846,0.2612785690626035,8.0
IVECO,EUROCARGO,Diesel,3,2198.37109375,243.4,652.312,413.78,0.5099493564321078,0.4617708333333333,9.03192725451931,0.29672515338949473,0.18822117938885857,8.0
IVECO,S-WAY,Diesel,2,1501.41796875,931.2,2495.616,1583.04,0.623317377212624,0.40157091750841745,1.6123474750322164,1.6621727273436828,1.0543632971956198,8.0
IVECO,S-WAY 480,Diesel,1,94.94921875,23.4,62.712,39.779999999999994,0.7016184898293344,0.24546296296296297,4.057658920940171,0.6604793680832682,0.4189607931871477,8.0
IVECO,STRALIS,Diesel,1,522.890625,830.9,2226.812,1412.53,0.5828681474128459,0.9374131944444445,0.6293063244674449,4.258657343493201,2.7013871208725533,8.0
IVECO,SWAY,Diesel,1,609.53515625,422.0,1130.96,717.4,0.6727618694231432,0.41217361111111106,1.44439610485782,1.8554467095186522,1.176962464993175,8.0
Isuzu,FUSO,Diesel,1,35.953125,3.9,10.452,6.63,0.6487080330462296,0.13684027777777777,9.21875,0.29071186440677965,0.18440677966101696,8.0
Isuzu,M2,Diesel,1,265.57086181640625,22.1,59.22800000000001,37.57,0.5843741969730445,0.23483024691358026,12.01678107766544,0.22302145497025708,0.14146883337665558,8.0
Isuzu,M21,Diesel,1,31.1640625,3.1,8.308000000000002,5.27,0.30073549441569053,0.043287037037037034,10.052923387096774,0.2665891200802207,0.16910503885685635,8.0
Isuzu,M27,Diesel,5,2030.548095703125,150.4,403.072,255.68,0.5680820467018787,0.6447324608262108,13.50098467887716,0.19850403979740597,0.12591674166253364,8.0
Isuzu,NT,Diesel,3,1244.349609375,128.2,343.576,217.94,0.5733774458895989,0.534375,9.70631520573323,0.27610889850527465,0.1751437042757339,8.0
Isuzu,P75,Gasoline,1,342.296875,0.0,0.0,0.0,,0.3707291666666667,,0.0,0.0,7.0
Iveco,180E,Gasoline,1,361.5625,0.0,0.0,0.0,,0.5313503086419753,,0.0,0.0,7.0
Iveco,35C,Diesel,1,992.25390625,114.8,307.664,195.16,0.4091922997157205,0.5000763888888888,8.643326709494774,0.31006579874575324,0.19668352905514197,8.0
